Material,Thickness_mm,Die_Radius_mm,Force_kN,Yield_Strength_MPa,Input_Angle_deg,Springback_percent
Aluminum,1,50,50,150,90,6
Aluminum,1.2,45,52,150,95,6.2
Aluminum,1.5,40,55,150,100,6.4
Aluminum,1.8,35,58,150,105,6.6
Aluminum,2,30,60,150,110,6.8
Aluminum,2.2,28,62,150,92,6.1
Aluminum,2.5,25,65,150,97,6.3
Aluminum,2.8,22,68,150,102,6.5
Aluminum,3,20,70,150,108,6.7
Aluminum,1.3,43,53,150,99,6.3
Aluminum,1.9,33,59,150,104,6.5
Aluminum,2.3,27,63,150,106,6.6
Aluminum,2.7,23,67,150,101,6.4
Aluminum,1.6,38,56,150,94,6.2
Aluminum,1.1,48,51,150,96,6.3
Copper,1,50,75,220,90,4
Copper,1.2,45,72,220,95,4.2
Copper,1.5,50,75,220,100,4.3
Copper,1.8,38,78,220,105,4.5
Copper,2,35,80,220,110,4.6
Copper,2.2,30,82,220,92,4.1
Copper,2.5,25,85,220,97,4.3
Copper,2.8,22,88,220,102,4.4
Copper,3,20,90,220,108,4.6
Copper,1.4,47,74,220,99,4.3
Copper,1.9,36,79,220,104,4.5
Copper,2.3,28,83,220,106,4.6
Copper,2.7,23,87,220,101,4.4
Copper,1.6,40,77,220,94,4.2
Copper,1.1,48,73,220,96,4.2
Steel,1,60,90,420,90,2.8
Steel,1.2,55,92,420,95,2.9
Steel,1.5,45,95,420,100,3
Steel,1.8,48,97,420,105,3.1
Steel,2,50,100,420,110,3.2
Steel,2.2,40,105,420,92,2.9
Steel,2.5,30,110,420,97,3
Steel,2.8,25,115,420,102,3.1
Steel,3,20,120,420,108,3.2
Steel,1.4,52,94,420,99,3
Steel,1.9,46,98,420,104,3.1
Steel,2.3,35,108,420,106,3.2
Steel,2.7,28,113,420,101,3.1
Steel,1.6,47,96,420,94,2.9
Steel,1.1,58,91,420,96,2.9
